epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1903,1.34223,2.19776,9.69715,1.20176,0.75638,0.61897,0.76309,0.54994,0.7581,0.62176,0.75301,0.51803,1.0333,1.92688,5.21301,1.03123,0.000554223,0.000554223,0.000554223
2,82.3698,1.16604,1.83069,6.49185,1.11643,0.85605,0.79828,0.8686,0.64228,0.85922,0.79093,0.85568,0.58928,1.04086,2.02914,4.00984,1.02371,0.00105495,0.00105495,0.00105495
3,119.217,1.09714,1.75372,5.55553,1.09932,0.84324,0.78954,0.87062,0.64049,0.84174,0.78217,0.85518,0.5899,1.01301,1.96386,3.96367,1.02184,0.00150067,0.00150067,0.00150067
4,155.853,1.08246,1.7296,5.21458,1.09911,0.83372,0.7703,0.86096,0.67971,0.82739,0.76441,0.84612,0.60539,0.88044,1.90592,3.49215,0.98744,0.00141945,0.00141945,0.00141945
5,192.156,1.05105,1.70536,5.0025,1.08233,0.89805,0.83668,0.91602,0.74582,0.88905,0.82934,0.90109,0.65877,0.82538,1.77853,2.98757,0.95917,0.00133693,0.00133693,0.00133693
6,228.515,1.02046,1.63047,4.69084,1.05669,0.82256,0.83364,0.90578,0.69466,0.81686,0.82689,0.89273,0.62269,0.89811,1.84202,3.13858,0.98436,0.00125442,0.00125442,0.00125442
7,264.824,1.00366,1.60438,4.54435,1.05555,0.70764,0.82396,0.85024,0.68308,0.69772,0.81437,0.83271,0.6087,0.83964,1.76171,3.64978,0.96981,0.0011719,0.0011719,0.0011719
8,300.726,0.99805,1.62172,4.42862,1.06312,0.93307,0.85083,0.92742,0.76484,0.93254,0.84035,0.91472,0.67762,0.78652,1.69792,2.73518,0.94644,0.00108938,0.00108938,0.00108938
9,336.938,0.98253,1.58882,4.32771,1.04328,0.91046,0.86164,0.93654,0.78219,0.91485,0.84788,0.91752,0.67614,0.75832,1.69534,2.40845,0.9408,0.00100687,0.00100687,0.00100687
10,372.973,0.94982,1.53457,4.17482,1.03117,0.75155,0.81129,0.84823,0.69325,0.73682,0.80486,0.82948,0.6044,0.76163,1.68971,3.44021,0.93625,0.000924352,0.000924352,0.000924352
11,410.126,0.89196,1.58006,4.004,1.03632,0.92572,0.87097,0.93931,0.784,0.91925,0.86318,0.9216,0.67963,0.72325,1.71708,2.28986,0.92021,0.000841835,0.000841835,0.000841835
12,445.205,0.87067,1.54922,3.81968,1.01869,0.93648,0.89164,0.94579,0.803,0.93074,0.8834,0.93098,0.70349,0.73819,1.62121,2.17263,0.92754,0.000759318,0.000759318,0.000759318
13,480.594,0.86288,1.55166,3.78767,1.0231,0.81391,0.85634,0.90786,0.75961,0.81927,0.8272,0.88962,0.66438,0.70369,1.66108,2.64672,0.91585,0.000676802,0.000676802,0.000676802
14,515.884,0.84259,1.57889,3.70962,1.01674,0.90744,0.87787,0.93741,0.78605,0.8974,0.86951,0.91928,0.68324,0.74124,1.60441,2.24795,0.92419,0.000594286,0.000594286,0.000594286
15,551.12,0.81342,1.50595,3.66063,1.00839,0.91433,0.8764,0.93925,0.80779,0.90294,0.865,0.92144,0.69704,0.67163,1.54773,2.15657,0.90815,0.000511769,0.000511769,0.000511769
16,586.142,0.81526,1.49869,3.54527,1.00352,0.92634,0.88718,0.94533,0.80356,0.91568,0.87664,0.9285,0.71201,0.71048,1.54476,2.10817,0.91188,0.000429253,0.000429253,0.000429253
17,621.15,0.79746,1.45265,3.38075,0.99707,0.93774,0.91652,0.95459,0.82631,0.94086,0.89852,0.93957,0.71517,0.65935,1.52574,1.91567,0.89708,0.000346736,0.000346736,0.000346736
18,656.334,0.79138,1.45277,3.32788,0.99185,0.912,0.91292,0.94617,0.82492,0.92306,0.88112,0.93001,0.71904,0.63051,1.49403,1.94309,0.88968,0.00026422,0.00026422,0.00026422
19,691.753,0.764,1.45359,3.23129,0.98397,0.94442,0.91998,0.95515,0.83614,0.93594,0.905,0.93787,0.71453,0.62541,1.52661,1.77515,0.89127,0.000181703,0.000181703,0.000181703
20,727.076,0.75981,1.41895,3.16903,0.99276,0.91979,0.90172,0.94786,0.83533,0.91642,0.88759,0.93129,0.71502,0.60818,1.50646,1.83243,0.88587,9.91865e-05,9.91865e-05,9.91865e-05
