picture,x_center,y_center,width,height,confidence,classification_result
0,224.67616,225.25119,56.5336,52.916504,0.91415966,1.0
0,337.69073,16.144918,54.726562,32.289837,0.84633887,1.0
1,291.7343,199.10849,58.422577,57.03636,0.9247538,1.0
1,218.00671,341.12546,52.51465,50.371765,0.90174866,1.0
2,410.85855,149.16058,80.05597,70.48044,0.80435,0.0
2,152.78116,237.46211,36.853806,31.72998,0.6231283,0.0
3,353.2228,369.14062,54.639954,55.386627,0.87873995,1.0
3,268.50504,145.01627,56.44806,55.600685,0.84441334,1.0
3,343.68085,59.532406,65.19626,59.61918,0.80865604,1.0
4,462.88193,130.93193,38.629883,37.028343,0.8898182,0.0
4,335.39203,242.51292,33.69821,38.94034,0.8692709,0.0
4,455.849,366.36957,25.336823,26.315643,0.6623664,0.0
4,451.37787,3.5844147,20.658478,7.1688294,0.31252626,0.0
5,83.62372,104.38039,43.538208,45.294975,0.8881815,0.0
5,131.65582,321.1452,34.485886,36.35898,0.799187,0.0
5,95.12541,32.451694,32.04119,33.34101,0.7749873,0.0
6,459.96982,213.09744,33.662903,33.471634,0.86217445,0.0
6,327.44366,352.22284,35.25464,32.996124,0.8490001,0.0
6,59.90152,267.8939,36.19548,34.24707,0.7835414,0.0
6,222.30444,352.15686,21.25238,24.17685,0.63255155,0.0
7,153.30145,175.28902,38.379105,36.58487,0.8639921,0.0
7,386.63632,151.74896,34.039124,35.164017,0.84126705,0.0
7,45.124702,414.72443,23.41212,24.706818,0.3250546,0.0
8,258.3162,188.12946,45.7063,38.81906,0.64399916,0.0
8,258.6734,187.73578,48.481354,39.041702,0.59631824,1.0
8,200.20413,282.71912,29.09578,33.016907,0.28584307,1.0
9,258.65295,187.72357,48.81598,38.965057,0.64312214,1.0
9,258.20242,188.10962,46.285706,38.736084,0.60661745,0.0
9,200.52963,283.36044,29.906937,33.803406,0.3265771,1.0
9,199.73235,281.22235,24.92276,28.275421,0.2501531,0.0
10,462.02792,114.55432,96.53876,92.83204,0.92625356,1.0
10,59.47844,321.2583,63.188793,43.690125,0.8874938,1.0
